Date,Open,High,Low,Close ,Volume
24-Sep-25,429.83,444.21,429.03,442.79,"93,133,600"
25-Sep-25,435.24,435.35,419.08,423.39,"96,746,400"
26-Sep-25,428.3,440.47,421.02,440.4,"101,628,200"
29-Sep-25,444.35,450.98,439.5,443.21,"79,491,500"
30-Sep-25,441.52,445,433.12,444.72,"74,358,000"
1-Oct-25,443.8,462.29,440.75,459.46,"98,122,300"
2-Oct-25,470.54,470.75,435.57,436,"137,009,000"
3-Oct-25,443.29,446.77,416.58,429.83,"133,188,200"
6-Oct-25,440.75,453.55,436.69,453.25,"85,324,900"
7-Oct-25,447.82,452.68,432.45,433.09,"102,296,100"
8-Oct-25,437.57,441.33,425.23,438.69,"71,192,100"
9-Oct-25,431.81,436.35,426.18,435.54,"69,339,900"
10-Oct-25,436.54,443.13,411.45,413.49,"112,107,900"
13-Oct-25,423.53,436.89,419.7,435.9,"79,552,800"
14-Oct-25,426.79,434.2,417.86,429.24,"72,669,400"
15-Oct-25,434.9,440.51,426.33,435.15,"71,558,200"
16-Oct-25,434.73,439.35,421.31,428.75,"77,189,900"
17-Oct-25,425.5,441.46,423.6,439.31,"89,331,600"
20-Oct-25,443.87,449.8,440.61,447.43,"63,719,000"
21-Oct-25,445.76,449.3,442.05,442.6,"54,412,200"
22-Oct-25,443.45,445.54,429,438.97,"84,023,500"
23-Oct-25,420,449.4,413.9,448.98,"126,709,800"
24-Oct-25,446.83,451.68,430.17,433.72,"94,727,800"
27-Oct-25,439.98,460.16,438.69,452.42,"105,867,500"
28-Oct-25,454.78,467,451.6,460.55,"80,185,700"
29-Oct-25,462.5,465.7,452.65,461.51,"67,983,500"
30-Oct-25,451.05,455.06,439.61,440.1,"72,447,900"
31-Oct-25,446.75,458,443.69,456.56,"83,135,800"
3-Nov-25,455.99,474.07,453.8,468.37,"84,595,200"
4-Nov-25,454.46,460.22,443.6,444.26,"87,756,600"
5-Nov-25,452.05,466.33,440.71,462.07,"85,573,000"
6-Nov-25,461.96,467.45,435.09,445.91,"109,622,900"
7-Nov-25,437.92,439.36,421.88,429.52,"103,471,500"
10-Nov-25,439.6,449.67,433.36,445.23,"76,515,900"
11-Nov-25,439.4,442.49,432.36,439.62,"60,533,200"
12-Nov-25,442.15,442.33,426.56,430.6,"58,513,500"
13-Nov-25,423.13,424.5,396.34,401.99,"118,948,000"
14-Nov-25,386.3,412.19,382.78,404.35,"105,506,700"
17-Nov-25,398.74,423.96,398.74,408.92,"102,214,300"
18-Nov-25,405.38,408.9,393.71,401.25,"80,688,600"
19-Nov-25,406.18,411.78,398.5,403.99,"72,047,700"
20-Nov-25,414.63,428.94,394.74,395.23,"113,548,800"
21-Nov-25,402.32,402.8,383.76,391.09,"100,460,600"
24-Nov-25,402.17,421.72,401.09,417.78,"96,574,400"
